team_a,team_b,a_wins,b_wins,n
FAVBET Team,Zero Tenacity,1.0,5.0,6
RED Canids,Case Esports,4.0,2.0,6
BESTIA,Fluxo,2.0,4.0,6
Passion UA,Sashi Esport,4.0,2.0,6
Wildcard Gaming,Team Liquid,1.0,5.0,6
Astralis,Team Falcons,3.0,3.0,6
GamerLegion,Virtus.pro,4.0,2.0,6
G2 Esports,paiN Gaming,5.0,1.0,6
FaZe Clan,Heroic,3.0,3.0,6
Nemiga Gaming,BetBoom Team,2.0,4.0,6
Complexity,FaZe Clan,2.0,4.0,6
Aurora Gaming,BIG,1.0,5.0,6
B8 Esports,FUT Esports,2.0,4.0,6
Virtus.pro,GamerLegion,2.0,4.0,6
Team 3DMAX,PARIVISION,5.0,1.0,6
BIG,OG,1.0,5.0,6
ENCE,Monte,3.0,3.0,6
Monte,FAVBET Team,5.0,1.0,6
Nemiga Gaming,Sangal Esports,1.0,5.0,6
Team 3DMAX,Zero Tenacity,4.0,2.0,6
Sashi Esport,Zero Tenacity,1.0,4.0,5
500,CYBERSHOKE Esports,3.0,2.0,5
RED Canids,ODDIK,1.0,4.0,5
BESTIA,Imperial Esports,3.0,2.0,5
Dynamo Eclot,9Pandas,0.0,5.0,5
Sinners Esports,9INE,4.0,1.0,5
Virtus.pro,Complexity,3.0,2.0,5
Team 3DMAX,Aurora Gaming,5.0,0.0,5
Monte,9Pandas,2.0,3.0,5
FURIA Esports,Eternal Fire,3.0,2.0,5
Sashi Esport,OG,5.0,0.0,5
MOUZ,GamerLegion,4.0,1.0,5
Zero Tenacity,Nexus Gaming,3.0,2.0,5
Legacy,M80,3.0,2.0,5
Team Aunkere,Team Shadowkek,3.0,2.0,5
Monte,Iberian Soul,3.0,2.0,5
BCGame,OG,2.0,3.0,5
Fnatic,Virtus.pro,1.0,4.0,5
Passion UA,Fnatic,3.0,2.0,5
Ninjas in Pyjamas,PARIVISION,3.0,2.0,5
Cloud9,Fnatic,2.0,3.0,5
Legacy,NRG Esports,4.0,1.0,5
Natus Vincere,Ninjas in Pyjamas,5.0,0.0,5
Sashi Esport,Monte,2.0,3.0,5
Alliance,EYEBALLERS,2.0,3.0,5
CYBERSHOKE Esports,500,2.0,3.0,5
Nexus Gaming,Zero Tenacity,2.0,3.0,5
B8 Esports,FURIA Esports,1.0,4.0,5
Imperial Esports,Fluxo,5.0,0.0,5
Ninjas in Pyjamas,Natus Vincere,0.0,5.0,5
Eternal Fire,FURIA Esports,2.0,3.0,5
Fluxo,Imperial Esports,0.0,5.0,5
MIBR,Team Liquid,1.0,4.0,5
BetBoom Team,Monte,5.0,0.0,5
Team Liquid,GamerLegion,3.0,2.0,5
Mindfreak,Rooster,3.0,2.0,5
Sinners Esports,RUBY,2.0,3.0,5
RED Canids,BESTIA,2.0,3.0,5
Natus Vincere,Team Liquid,2.0,3.0,5
Heroic,Complexity,2.0,3.0,5
Nexus Gaming,Sashi Esport,3.0,2.0,5
Team Liquid,Team 3DMAX,2.0,3.0,5
FaZe Clan,SAW,4.0,1.0,5
Team Liquid,FlyQuest,4.0,1.0,5
9Pandas,Monte,3.0,2.0,5
paiN Gaming,RED Canids,5.0,0.0,5
Zero Tenacity,ECSTATIC,3.0,2.0,5
MIBR,Heroic,2.0,3.0,5
GUN5,Dynamo Eclot,3.0,2.0,5
GamerLegion,The Mongolz,0.0,5.0,5
BCGame,Alliance,2.0,3.0,5
Alliance,ARCRED,5.0,0.0,5
9Pandas,Dynamo Eclot,5.0,0.0,5
FURIA Esports,Virtus.pro,2.0,3.0,5
GUN5,Monte,3.0,2.0,5
GamerLegion,Aurora Gaming,3.0,2.0,5
Team Vitality,Team 3DMAX,5.0,0.0,5
ENCE,The Mongolz,2.0,3.0,5
Team Falcons,The Mongolz,3.0,2.0,5
AMKAL Esports,Insilio,4.0,1.0,5
Bleed Esports,B8 Esports,2.0,3.0,5
SAW,FaZe Clan,1.0,4.0,5
The Mongolz,FaZe Clan,4.0,1.0,5
Passion UA,BIG,1.0,4.0,5
GamerLegion,Team 3DMAX,4.0,1.0,5
OG,Sinners Esports,3.0,2.0,5
Aurora Gaming,Team 3DMAX,0.0,5.0,5
MIBR,Team Spirit,1.0,4.0,5
Astralis,MOUZ,1.0,4.0,5
FaZe Clan,The Mongolz,1.0,4.0,5
B8 Esports,GamerLegion,2.0,3.0,5
Natus Vincere,Eternal Fire,4.0,1.0,5
ARCRED,Alliance,0.0,5.0,5
MOUZ,Eternal Fire,3.0,2.0,5
Team Vitality,BetBoom Team,3.0,2.0,5
ENCE,BetBoom Team,2.0,3.0,5
paiN Gaming,Team 3DMAX,3.0,2.0,5
Bad News Kangaroos,Rooster,2.0,3.0,5
Zero Tenacity,Team Spirit Academy,3.0,2.0,5
FURIA Esports,M80,4.0,1.0,5
FlyQuest,Team Liquid,1.0,4.0,5
ECSTATIC,Zero Tenacity,2.0,3.0,5
Nemiga Gaming,Metizport,1.0,4.0,5
Team 3DMAX,GamerLegion,1.0,4.0,5
BetBoom Team,Cloud9,1.0,4.0,5
MOUZ,Aurora Gaming,4.0,1.0,5
500,ENCE,3.0,2.0,5
RUBY,Sinners Esports,3.0,2.0,5
B8 Esports,Natus Vincere,0.0,5.0,5
Complexity,Heroic,3.0,2.0,5
9INE,BIG,2.0,3.0,5
Eternal Fire,Natus Vincere,1.0,4.0,5
FURIA Esports,MIBR,3.0,2.0,5
B8 Esports,Monte,4.0,1.0,5
Aurora Gaming,9Pandas,3.0,2.0,5
Monte,CYBERSHOKE Esports,4.0,1.0,5
Fnatic,SAW,3.0,2.0,5
paiN Gaming,Aurora Gaming,1.0,4.0,5
GamerLegion,Team Liquid,2.0,3.0,5
9z Team,BESTIA,4.0,1.0,5
9z Team,MIBR,3.0,2.0,5
Sinners Esports,OG,2.0,3.0,5
Sashi Esport,9INE,3.0,2.0,5
BCGame,Partizan Esports,3.0,2.0,5
Heroic,PARIVISION,3.0,2.0,5
Monte,GUN5,2.0,3.0,5
BIG,FlyQuest,3.0,2.0,5
Dynamo Eclot,GUN5,2.0,3.0,5
Nouns Esports,Party Astronauts,4.0,1.0,5
SAW,BetBoom Team,2.0,3.0,5
ODDIK,RED Canids,4.0,1.0,5
Metizport,Nemiga Gaming,4.0,1.0,5
9INE,Sinners Esports,1.0,4.0,5
Insilio,AMKAL Esports,1.0,4.0,5
Natus Vincere,BIG,5.0,0.0,5
The Mongolz,ENCE,3.0,2.0,5
Fnatic,Passion UA,2.0,3.0,5
B8 Esports,Astralis,2.0,3.0,5
BIG,Natus Vincere,0.0,5.0,5
The Mongolz,Team Falcons,2.0,3.0,5
Team Vitality,Heroic,3.0,2.0,5
SAW,Aurora Gaming,3.0,2.0,5
Sashi Esport,500,2.0,3.0,5
G2 Esports,GamerLegion,4.0,1.0,5
Heroic,ENCE,4.0,1.0,5
BIG,FURIA Esports,3.0,2.0,5
Fnatic,Cloud9,3.0,2.0,5
Rebels Gaming,Aurora Gaming,0.0,5.0,5
Astralis,B8 Esports,3.0,2.0,5
Monte,B8 Esports,1.0,4.0,5
paiN Gaming,Natus Vincere,0.0,5.0,5
MIBR,FURIA Esports,2.0,3.0,5
FURIA Esports,B8 Esports,4.0,1.0,5
Monte,Fnatic,2.0,3.0,5
9INE,Zero Tenacity,3.0,2.0,5
Fnatic,Monte,3.0,2.0,5
TYLOO,Team 3DMAX,2.0,3.0,5
B8 Esports,MOUZ NXT,3.0,2.0,5
ENCE,500,2.0,3.0,5
B8 Esports,Bleed Esports,3.0,2.0,5
CYBERSHOKE Esports,Monte,1.0,4.0,5
GamerLegion,FaZe Clan,3.0,2.0,5
BIG,GamerLegion,3.0,2.0,5
paiN Gaming,Legacy,3.0,2.0,5
BetBoom Team,ENCE,3.0,2.0,5
Johnny Speeds,Metizport,3.0,2.0,5
paiN Gaming,ODDIK,4.0,1.0,5
Zero Tenacity,9INE,2.0,3.0,5
PARIVISION,Fnatic,3.0,2.0,5
Team 3DMAX,Team Liquid,3.0,2.0,5
Monte,Sashi Esport,3.0,2.0,5
Team 3DMAX,Team Vitality,0.0,5.0,5
Team 3DMAX,paiN Gaming,2.0,3.0,5
Oxuji Esports,K27,1.0,4.0,5
BIG,G2 Esports,0.0,5.0,5
9Pandas,Aurora Gaming,2.0,3.0,5
MOUZ,Astralis,4.0,1.0,5
FlyQuest,BIG,2.0,3.0,5
9INE,Sashi Esport,2.0,3.0,5
Aurora Gaming,Rebels Gaming,5.0,0.0,5
Team 3DMAX,Sinners Esports,2.0,3.0,5
Alliance,Sinners Esports,2.0,3.0,5
Sashi Esport,Nexus Gaming,2.0,3.0,5
Party Astronauts,Nouns Esports,1.0,4.0,5
9z Team,FURIA Esports,2.0,3.0,5
Rooster,Bad News Kangaroos,3.0,2.0,5
ODDIK,paiN Gaming,1.0,4.0,5
NRG Esports,Legacy,1.0,4.0,5
Monte,BetBoom Team,0.0,5.0,5
Virtus.pro,FURIA Esports,3.0,2.0,5
FaZe Clan,GamerLegion,2.0,3.0,5
500,Sashi Esport,3.0,2.0,5
BESTIA,RED Canids,3.0,2.0,5
Metizport,Johnny Speeds,2.0,3.0,5
SAW,Virtus.pro,0.0,5.0,5
RED Canids,paiN Gaming,0.0,5.0,5
Sinners Esports,Team 3DMAX,3.0,2.0,5
PARIVISION,9INE,4.0,1.0,5
The Mongolz,GamerLegion,5.0,0.0,5
The Mongolz,Rare Atom,5.0,0.0,5
Heroic,MIBR,3.0,2.0,5
Sinners Esports,9Pandas,2.0,3.0,5
BetBoom Team,Team Vitality,2.0,3.0,5
OG,Sashi Esport,0.0,5.0,5
GamerLegion,G2 Esports,1.0,4.0,5
Team Liquid,Natus Vincere,3.0,2.0,5
Cloud9,BetBoom Team,4.0,1.0,5
Team Liquid,MIBR,4.0,1.0,5
ENCE,Heroic,1.0,4.0,5
Eternal Fire,MOUZ,2.0,3.0,5
OG,BCGame,3.0,2.0,5
Team Spirit Academy,Zero Tenacity,2.0,3.0,5
GamerLegion,BIG,2.0,3.0,5
Team 3DMAX,TYLOO,3.0,2.0,5
Virtus.pro,Fnatic,4.0,1.0,5
9INE,PARIVISION,1.0,4.0,5
BIG,Passion UA,4.0,1.0,5
The Mongolz,Astralis,1.0,4.0,5
Sinners Esports,Alliance,3.0,2.0,5
B8 Esports,Aurora Gaming,0.0,5.0,5
Virtus.pro,SAW,5.0,0.0,5
Aurora Gaming,GamerLegion,2.0,3.0,5
Sharks Esports,paiN Gaming,1.0,4.0,5
Team 3DMAX,Eternal Fire,2.0,3.0,5
Team Shadowkek,Team Aunkere,2.0,3.0,5
Eternal Fire,Team 3DMAX,3.0,2.0,5
9Pandas,Sinners Esports,3.0,2.0,5
FURIA Esports,BIG,2.0,3.0,5
Imperial Esports,BESTIA,2.0,3.0,5
BetBoom Team,SAW,3.0,2.0,5
Partizan Esports,BCGame,2.0,3.0,5
Iberian Soul,Monte,2.0,3.0,5
Aurora Gaming,MOUZ,1.0,4.0,5
GamerLegion,MOUZ,1.0,4.0,5
BIG,9INE,3.0,2.0,5
Rooster,Mindfreak,2.0,3.0,5
